Cabina Temp °C / Cabina Temp °F | Ambiente Temp °C / Ambiente Temp °F | Hora
26.0 / 78.8 | 25.5 / 78.8 | 16:23:30
25.9 / 78.6 | 25.1 / 78.6 | 16:23:48
25.9 / 78.6 | 25.1 / 78.6 | 16:24:04
25.8 / 78.4 | 25.1 / 78.4 | 16:24:20
25.8 / 78.4 | 25.1 / 78.4 | 16:24:38
25.8 / 78.4 | 25.0 / 78.4 | 16:24:57
25.8 / 78.4 | 25.0 / 78.4 | 16:25:12
25.8 / 78.4 | 25.0 / 78.4 | 16:25:28
25.8 / 78.4 | 25.0 / 78.4 | 16:25:44
25.8 / 78.4 | 24.9 / 78.4 | 16:25:59
25.8 / 78.4 | 24.9 / 78.4 | 16:26:15
25.8 / 78.4 | 24.9 / 78.4 | 16:26:31
25.8 / 78.4 | 24.9 / 78.4 | 16:26:54
25.8 / 78.4 | 24.9 / 78.4 | 16:27:10
25.8 / 78.4 | 24.9 / 78.4 | 16:27:33
25.8 / 78.4 | 24.9 / 78.4 | 16:27:51
25.8 / 78.4 | 24.9 / 78.4 | 16:28:09
25.8 / 78.4 | 24.9 / 78.4 | 16:28:30
25.8 / 78.4 | 24.9 / 78.4 | 16:28:52
25.8 / 78.4 | 24.9 / 78.4 | 16:29:12
25.8 / 78.4 | 24.9 / 78.4 | 16:29:28
25.8 / 78.4 | 24.9 / 78.4 | 16:29:44
25.8 / 78.4 | 25.0 / 78.4 | 16:30:02
25.8 / 78.4 | 25.0 / 78.4 | 16:30:18
25.8 / 78.4 | 25.0 / 78.4 | 16:30:33
25.8 / 78.4 | 24.9 / 78.4 | 16:30:54
25.8 / 78.4 | 24.9 / 78.4 | 16:31:15
25.8 / 78.4 | 24.9 / 78.4 | 16:31:31
25.8 / 78.4 | 24.9 / 78.4 | 16:31:46
25.8 / 78.4 | 24.9 / 78.4 | 16:32:02
25.8 / 78.4 | 24.9 / 78.4 | 16:32:18
25.8 / 78.4 | 24.9 / 78.4 | 16:32:38
25.8 / 78.4 | 24.9 / 78.4 | 16:32:59
25.8 / 78.4 | 24.9 / 78.4 | 16:33:20
25.8 / 78.4 | 24.9 / 78.4 | 16:33:38
25.8 / 78.4 | 24.9 / 78.4 | 16:33:53
25.8 / 78.4 | 24.9 / 78.4 | 16:34:09
25.8 / 78.4 | 24.9 / 78.4 | 16:34:28
25.8 / 78.4 | 24.9 / 78.4 | 16:34:43
25.8 / 78.4 | 24.9 / 78.4 | 16:34:59
25.8 / 78.4 | 24.9 / 78.4 | 16:35:15
25.8 / 78.4 | 24.9 / 78.4 | 16:35:35
25.8 / 78.4 | 24.9 / 78.4 | 16:35:51
25.8 / 78.4 | 24.9 / 78.4 | 16:36:07
25.8 / 78.4 | 24.9 / 78.4 | 16:36:23
25.8 / 78.4 | 24.9 / 78.4 | 16:36:38
25.8 / 78.4 | 24.8 / 78.4 | 16:36:54
25.8 / 78.4 | 24.8 / 78.4 | 16:37:12
25.8 / 78.4 | 24.8 / 78.4 | 16:37:38
25.8 / 78.4 | 24.8 / 78.4 | 16:37:54
25.8 / 78.4 | 24.8 / 78.4 | 16:38:15
25.8 / 78.4 | 24.8 / 78.4 | 16:38:31
25.8 / 78.4 | 24.8 / 78.4 | 16:38:47
25.8 / 78.4 | 24.8 / 78.4 | 16:39:02
25.8 / 78.4 | 24.8 / 78.4 | 16:39:18
25.8 / 78.4 | 24.8 / 78.4 | 16:39:36
25.8 / 78.4 | 24.8 / 78.4 | 16:39:52
25.8 / 78.4 | 24.8 / 78.4 | 16:40:07
25.8 / 78.4 | 24.8 / 78.4 | 16:40:23
25.7 / 78.3 | 24.8 / 78.3 | 16:40:39
25.7 / 78.3 | 24.7 / 78.3 | 16:41:00
25.7 / 78.3 | 24.7 / 78.3 | 16:41:16
25.8 / 78.4 | 24.7 / 78.4 | 16:41:31
25.8 / 78.4 | 24.7 / 78.4 | 16:41:50
25.8 / 78.4 | 24.7 / 78.4 | 16:42:08
25.7 / 78.3 | 24.7 / 78.3 | 16:42:29
25.7 / 78.3 | 24.7 / 78.3 | 16:42:49
25.7 / 78.3 | 24.8 / 78.3 | 16:43:08
25.7 / 78.3 | 24.8 / 78.3 | 16:43:24
25.8 / 78.4 | 24.8 / 78.4 | 16:43:47
25.8 / 78.4 | 24.8 / 78.4 | 16:44:05
25.8 / 78.4 | 24.8 / 78.4 | 16:44:38
25.8 / 78.4 | 24.8 / 78.4 | 16:44:54
25.8 / 78.4 | 24.8 / 78.4 | 16:45:13
25.8 / 78.4 | 24.8 / 78.4 | 16:45:28
25.8 / 78.4 | 24.8 / 78.4 | 16:45:46
25.8 / 78.4 | 24.8 / 78.4 | 16:46:02
25.8 / 78.4 | 24.8 / 78.4 | 16:46:23
25.8 / 78.4 | 24.8 / 78.4 | 16:46:38
25.8 / 78.4 | 24.8 / 78.4 | 16:46:57
25.8 / 78.4 | 24.8 / 78.4 | 16:47:15
25.8 / 78.4 | 24.8 / 78.4 | 16:47:30
25.8 / 78.4 | 24.8 / 78.4 | 16:47:46
25.8 / 78.4 | 24.8 / 78.4 | 16:48:02
25.8 / 78.4 | 24.8 / 78.4 | 16:48:23
25.8 / 78.4 | 24.8 / 78.4 | 16:48:39
25.8 / 78.4 | 24.8 / 78.4 | 16:48:59
25.8 / 78.4 | 24.8 / 78.4 | 16:49:15
25.8 / 78.4 | 24.8 / 78.4 | 16:49:34
